id,text,intent
001,Is Ferrari World open on Fridays?,hours_logistics
002,Wa alaikum salam,greeting
003,What activities are good for toddlers in Sharjah?,recommendation
004,What history does Dubai Frame have?,attraction_info
005,Is Louvre Abu Dhabi open on Fridays?,hours_logistics
006,When does Louvre Abu Dhabi close?,hours_logistics
007,How much does it cost to enter Ajman Museum?,ticket_booking
008,What should first-time visitors see in Ajman?,recommendation
009,Best family activities in Abu Dhabi?,recommendation
010,Shlonak?,greeting
011,What's the stock price of Apple?,other
012,Romantic spots for couples in Fujairah?,recommendation
013,Hi there,greeting
014,What's the meaning of life?,other
015,What time does Sheikh Zayed Grand Mosque open?,hours_logistics
016,Where should we go for our anniversary in Ajman?,recommendation
017,How do I reset my phone?,other
018,"We have teenagers, what would they enjoy in Abu Dhabi?",recommendation
019,What time does Al Fahidi Historical Neighbourhood open?,hours_logistics
020,"We're newlyweds spending a week in Abu Dhabi, what should we prioritize?",recommendation
021,"We're visiting for 3 days with a toddler, what's a good itinerary in Abu Dhabi?",recommendation
022,Where can I take my children this weekend in Abu Dhabi?,recommendation
023,Do I need to book in advance for Al Noor Island?,ticket_booking
024,What are the top attractions in Umm Al Quwain?,recommendation
025,"I'm traveling with young kids, what do you suggest in Dubai?",recommendation
026,What's the most romantic place in Sharjah?,recommendation
027,Is Qasr Al Watan open on public holidays?,hours_logistics
028,What's the most romantic place in Dubai?,recommendation
029,Is Fujairah Fort open on Fridays?,hours_logistics
030,What's the best time of day to visit?,hours_logistics
031,Do I need to book in advance for Ferrari World?,ticket_booking
032,"I'm planning a surprise trip for my girlfriend to Sharjah, what should we do?",recommendation
033,How do I say thank you in Hindi?,other
034,What's a good date spot in Abu Dhabi?,recommendation
035,Sabah al-khair,greeting
036,Best family activities in Umm Al Quwain?,recommendation
037,"We have a baby, what places are stroller-friendly?",recommendation
038,What's the wifi password?,other
039,What history does Ferrari World have?,attraction_info
040,Is Sheikh Zayed Grand Mosque worth visiting?,attraction_info
041,"I want to explore Abu Dhabi, what should I see?",recommendation
042,Is Fujairah Fort worth visiting?,attraction_info
043,What can I do with my kids in Abu Dhabi?,recommendation
044,What's my horoscope today?,other
045,Suggest a romantic getaway in Umm Al Quwain,recommendation
046,Any honeymoon-worthy spots in Abu Dhabi?,recommendation
047,"My partner and I have 2 days in Dubai, what's a romantic itinerary?",recommendation
048,Where can my partner and I have a quiet evening in Fujairah?,recommendation
049,Can you solve this math problem?,other
050,Where do couples usually go for a special evening?,recommendation
051,What's the dress code for Al Fahidi Historical Neighbourhood?,visitor_rules
052,What can tourists do in Umm Al Quwain?,recommendation
053,Can I visit Sharjah Museum of Islamic Civilization in the evening?,other
054,Where can I see traditional Emirati architecture?,recommendation
055,Any theme parks suitable for kids in Abu Dhabi?,recommendation
056,Any must-see spots in Fujairah?,recommendation
057,How much does it cost to enter Dubai Frame?,ticket_booking
058,Any candlelit dinner spots you'd recommend?,recommendation
059,What's a peaceful place for couples in Abu Dhabi?,recommendation
060,Can I use my credit card everywhere?,other
061,Any kid-friendly places in Ajman?,recommendation
062,What days is Ferrari World closed?,hours_logistics
063,What's up?,greeting
064,What can I visit in Umm Al Quwain?,recommendation
065,"We're a family of five, what do you recommend?",recommendation
066,What can I fit into a half-day visit to Sharjah?,attraction_info
067,Can you write me a poem?,other
068,What kind of place is Ajman Museum?,attraction_info
069,Salaam,greeting
070,What's a peaceful place for couples in Dubai?,recommendation
071,Can you recommend a landmark in Dubai?,recommendation
072,Can you help me file my taxes?,other
073,Can you recommend a landmark in Ras Al Khaimah?,recommendation
074,What's worth seeing near Abu Dhabi?,recommendation
075,Can you recommend a movie?,recommendation
076,Can you recommend a landmark in Fujairah?,recommendation
077,Can you order food for me?,other
078,What's the best mobile network here?,recommendation
079,Do I need tickets for Dreamland Aqua Park?,ticket_booking
080,Where can we watch the sunset together?,recommendation
081,What are the visiting hours for Dubai Mall?,hours_logistics
082,What's fun for the whole family in Dubai?,recommendation
083,Where should we go for our anniversary in Ras Al Khaimah?,recommendation
