id,name,category,Emirate,description,opening_hours,closed_days,best_for,price_type
001,Sheikh Zayed Grand Mosque,heritage_culture,Abu Dhabi,"One of the largest mosques in the world, known for its white marble domes, gold-detailed chandeliers, and the world's largest hand-knotted carpet.","Generally 9:00am-10:00pm for visitors, verify exact daily schedule","Closed to non-Muslim visitors during Friday morning prayers, verify","family, couples, solo",free
002,Louvre Abu Dhabi,museum_gallery,Abu Dhabi,"Art and civilization museum on Saadiyat Island, showcasing works spanning human history under a distinctive dome roof.","Tue-Thu 10:00am-6:30pm, Fri-Sun 10:00am-8:30pm (galleries); dome area open later, verify current schedule",Monday,"family, couples, solo",paid
003,Qasr Al Watan,heritage_culture,Abu Dhabi,"The UAE Presidential Palace, partially open to the public, showcasing Arabian architecture, a library, and the 'Palace in Motion' light show.",10:00 AM - 8:00 PM,None,"family, couples, solo",paid
004,Ferrari World Abu Dhabi,theme_entertainment,Abu Dhabi,"Indoor theme park on Yas Island featuring Formula Rossa, the world's fastest roller coaster, plus family rides and Ferrari-branded attractions.",11:00 AM - 8:00 PM,None,"family, friends",paid
005,Warner Bros World Abu Dhabi,theme_entertainment,Abu Dhabi,"Indoor theme park on Yas Island themed around Warner Bros characters including DC, Looney Tunes, and Scooby-Doo.",11:00 AM - 8:00 PM,None,"family, friends",paid
006,Yas Waterworld,theme_entertainment,Abu Dhabi,"Water park on Yas Island with slides, rides, and attractions themed around an Emirati pearl-diving legend.",10:00 AM - 6:00 PM,None,"family, friends",paid
007,Emirates Park Zoo,theme_entertainment,Abu Dhabi,"Zoo housing a wide range of animals including tigers and elephants, with feeding sessions and petting areas for children.",9:00 AM - 6:00 PM,None,"family, friends",variable
008,Corniche Beach,beach_waterfront,Abu Dhabi,"A long, family-friendly public beach along Abu Dhabi's waterfront, with shallow waters, playgrounds, and walking paths.","Open 24 hours (public beach, verify)",None typically,"family, couples",free
009,Jubail Mangrove Park,nature_outdoor,Abu Dhabi,"Boardwalks and kayaking through natural mangrove forests, good for birdwatching and a quieter nature experience.",8:00 AM - 6:00 PM,None,"family, couples, solo",free
010,Saadiyat Public Beach,beach_waterfront,Abu Dhabi,"A clean, well-maintained public beach on Saadiyat Island, near the cultural district museums.",Open 24 hours,None,"family, couples",free
011,Burj Khalifa,landmark,Dubai,"The world's tallest building, with observation decks (At the Top) offering panoramic views of the city.",9:00 AM - 10:00 PM,None typically,"family, couples, solo, friends, business travel",paid
012,Dubai Mall,shopping,Dubai,"One of the world's largest malls, home to the Dubai Aquarium, an ice rink, and hundreds of retail and dining options.","10am - 12am (verify, may vary Fri/Sat)",None typically,"family, couples, friends, business travel",NA
013,Dubai Aquarium & Underwater Zoo,theme_entertainment,Dubai,"A large suspended aquarium inside Dubai Mall with a walk-through tunnel, sharks, rays, and an underwater zoo section.",10:00 AM - 10:00 PM,None typically,"family, friends",paid
014,Palm Jumeirah,beach_waterfront,Dubai,"An artificial palm-shaped island with resorts, beaches, and The Pointe/Atlantis attractions.",Open 24 hours (public areas),None,"family, couples",free
015,Dubai Frame,landmark,Dubai,A large frame-shaped structure offering views over both old and new Dubai from its glass-floored top level.,9:00 AM - 10:00 PM,None,"family, couples",paid
016,Global Village,theme_entertainment,Dubai,"A seasonal cultural and entertainment park featuring pavilions from many countries, shows, and rides. Open only part of the year.","Seasonal (typically Oct-Apr), verify current dates",Seasonal closure in summer,"family, couples, friends",paid
